DeviceID_WH1,Timestamp_WH1,Temperature_WH1,GyroX_WH1,GyroY_WH1,GyroZ_WH1,AccelX_WH1,AccelY_WH1,AccelZ_WH1,Dist1_WH1,Dist2_WH1,Dist3_WH1,Err1_WH1,Err2_WH1,Err3_WH1,t,DeviceID_WH2,Timestamp_WH2,Temperature_WH2,GyroX_WH2,GyroY_WH2,GyroZ_WH2,AccelX_WH2,AccelY_WH2,AccelZ_WH2,Dist1_WH2,Dist2_WH2,Dist3_WH2,Err1_WH2,Err2_WH2,Err3_WH2,DeviceID_WH3,Timestamp_WH3,Temperature_WH3,GyroX_WH3,GyroY_WH3,GyroZ_WH3,AccelX_WH3,AccelY_WH3,AccelZ_WH3,Dist1_WH3,Dist2_WH3,Dist3_WH3,Err1_WH3,Err2_WH3,Err3_WH3,DeviceID_WH4,Timestamp_WH4,Temperature_WH4,GyroX_WH4,GyroY_WH4,GyroZ_WH4,AccelX_WH4,AccelY_WH4,AccelZ_WH4,Dist1_WH4,Dist2_WH4,Dist3_WH4,Err1_WH4,Err2_WH4,Err3_WH4,Timestamp_GNSS,Fix_GNSS,Latitude_GNSS,Longitude_GNSS,Altitude_GNSS,GeoidSeparation_GNSS,Satellites_GNSS,HDOP_GNSS,Heading_GNSS,Timestamp_BODY,PosX_BODY,PosY_BODY,PosZ_BODY,Roll_BODY,Pitch_BODY,Yaw_BODY,Q1_BODY,Q2_BODY,Q3_BODY,Q4_BODY,M1_BODY,M2_BODY,M3_BODY,M4_BODY,AccelX_BODY,AccelY_BODY,AccelZ_BODY,GyroX_BODY,GyroY_BODY,GyroZ_BODY
1.0,1753875095.744101,15.0625,1.05,-1.61,0.0,0.030744,0.983442,0.032086,0.0,0.0,0.0,0.0,0.0,0.0,0.0120849609375,2.0,1753875095.739905,17.292969,0.91,-1.68,-0.28,-0.0427,-1.021506,0.005246,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.740815,15.679688,0.77,-1.33,-0.21,0.189466,-1.006744,-0.006222,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.73698,14.898438,0.63,-1.19,0.07,0.445544,-0.895846,-0.004026,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.74,2.0,49.20418015,18.75516807,387.4287,42.1352,32.0,0.5,227.852,1753875095.737016,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.45,-10.61,0.8,0.16,0.84
1.0,1753875095.748676,15.0625,1.05,-1.61,0.07,0.031598,0.981246,0.032208,0.0,0.0,0.0,0.0,0.0,0.0,0.016659975051879883,2.0,1753875095.745324,17.292969,0.91,-1.68,-0.35,-0.043798,-1.02175,0.006222,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.744157,15.679688,0.7,-1.33,-0.28,0.188734,-1.006622,-0.005246,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.741575,14.898438,0.56,-1.19,0.07,0.441884,-0.895114,-0.002684,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.74,2.0,49.20418015,18.75516807,387.4287,42.1352,32.0,0.5,227.852,1753875095.737016,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.45,-10.61,0.8,0.16,0.84
1.0,1753875095.753157,15.0625,0.98,-1.68,0.07,0.031598,0.981246,0.032208,0.0,0.0,0.0,0.0,0.0,0.0,0.02114081382751465,2.0,1753875095.749265,17.292969,0.84,-1.61,-0.42,-0.041236,-1.020774,0.005612,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.74896,15.6875,0.7,-1.33,-0.21,0.189954,-1.006988,-0.005978,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.74791,14.898438,0.56,-1.19,0.0,0.444324,-0.895846,-0.00366,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.75,2.0,49.20418015,18.75516807,387.429,42.1352,32.0,0.5,227.9,1753875095.747016,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.61,0.84,0.24,0.9
1.0,1753875095.757819,15.050781,1.05,-1.68,0.07,0.031354,0.982344,0.03172,0.0,0.0,0.0,0.0,0.0,0.0,0.0258028507232666,2.0,1753875095.753451,17.296875,0.77,-1.68,-0.35,-0.044164,-1.021506,0.005856,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.753415,15.6875,0.77,-1.33,-0.21,0.189954,-1.006988,-0.005978,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.750878,14.898438,0.63,-1.19,0.14,0.44347,-0.896212,-0.003416,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.75,2.0,49.20418015,18.75516807,387.429,42.1352,32.0,0.5,227.9,1753875095.747016,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.61,0.84,0.24,0.9
1.0,1753875095.762392,15.050781,0.98,-1.61,0.0,0.030256,0.983564,0.030988,0.0,0.0,0.0,0.0,0.0,0.0,0.030375957489013672,2.0,1753875095.758028,17.296875,0.91,-1.61,-0.35,-0.04148,-1.020774,0.00488,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.758141,15.689454,1.52,-1.33,0.61,0.238703,-0.994306,-0.000919,140.2,0.0,0.1,5.2,0.0,0.0,4.0,1753875095.755595,14.898438,0.63,-1.05,0.07,0.443226,-0.89609,-0.001952,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.76,2.0,49.20418015,18.75516807,387.4296,42.1352,32.0,0.5,227.922,1753875095.7570162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.62,0.68,0.25,1.01
1.0,1753875095.770008,15.050781,0.98,-1.68,0.07,0.031354,0.982588,0.032696,0.0,0.0,0.0,0.0,0.0,0.0,0.037992000579833984,2.0,1753875095.766579,17.296875,0.91,-1.68,-0.28,-0.045262,-1.02297,0.005612,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.768113,15.632812,0.77,-1.4,-0.14,0.188978,-1.00772,-0.005246,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.763181,14.898438,0.56,-1.12,0.07,0.442982,-0.895358,-0.003782,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.77,2.0,49.20418015,18.75516807,387.4301,42.1352,32.0,0.5,227.914,1753875095.7670162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.62,0.67,0.19,0.82
1.0,1753875095.771487,15.050781,0.98,-1.54,0.07,0.030744,0.982588,0.032818,0.0,0.0,0.0,0.0,0.0,0.0,0.03947091102600098,2.0,1753875095.771316,17.316964,0.91,-1.67,-0.26,-0.043008,-1.022013,0.006303,0.0,166.2,165.7,0.0,3.9,5.4,3.0,1753875095.768113,15.632812,0.77,-1.4,-0.14,0.188978,-1.00772,-0.005246,140.0,0.0,0.0,5.0,0.0,0.0,4.0,1753875095.763181,14.898438,0.56,-1.12,0.07,0.442982,-0.895358,-0.003782,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.77,2.0,49.20418015,18.75516807,387.4301,42.1352,32.0,0.5,227.914,1753875095.7670162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.62,0.67,0.19,0.82
1.0,1753875095.779902,15.050781,0.98,-1.47,0.0,0.032208,0.980392,0.032452,0.0,0.0,0.0,0.0,0.0,0.0,0.047885894775390625,2.0,1753875095.776689,17.296875,0.84,-1.68,-0.28,-0.040138,-1.020286,0.005856,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.777082,15.632812,0.7,-1.26,-0.21,0.190442,-1.006622,-0.004392,142.0,0.0,0.0,4.0,0.0,0.0,4.0,1753875095.773421,14.863281,0.63,-0.98,0.07,0.443714,-0.894992,-0.002928,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.77,2.0,49.20418015,18.75516807,387.4301,42.1352,32.0,0.5,227.914,1753875095.7670162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.0,8.0,19.0,0.2,0.46,-10.62,0.67,0.19,0.82
1.0,1753875095.780624,15.050781,1.05,-1.61,0.07,0.031598,0.983686,0.032818,0.0,0.0,0.0,0.0,0.0,0.0,0.048607826232910156,2.0,1753875095.776689,17.296875,0.84,-1.68,-0.28,-0.040138,-1.020286,0.005856,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.777082,15.632812,0.7,-1.26,-0.21,0.190442,-1.006622,-0.004392,142.0,0.0,0.0,4.0,0.0,0.0,4.0,1753875095.773421,14.863281,0.63,-0.98,0.07,0.443714,-0.894992,-0.002928,105.0,0.0,0.0,2.0,0.0,0.0,1753875095.78,2.0,49.20418015,18.75516806,387.4305,42.1352,32.0,0.5,227.88,1753875095.7770162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.2,6.8,19.0,0.21,0.44,-10.62,0.75,0.36,0.88
1.0,1753875095.785263,15.050781,1.05,-1.61,0.0,0.032696,0.981856,0.032208,0.0,0.0,0.0,0.0,0.0,0.0,0.05324697494506836,2.0,1753875095.782096,17.296875,0.84,-1.68,-0.35,-0.04453,-1.021018,0.005368,0.0,166.0,166.0,0.0,5.0,5.0,3.0,1753875095.781591,15.632812,0.7,-1.33,-0.21,0.18849,-1.00772,-0.003904,142.0,0.0,0.0,4.0,0.0,0.0,4.0,1753875095.781287,14.863281,0.63,-1.19,0.14,0.443104,-0.8967,-0.003294,103.0,0.0,0.0,2.0,0.0,0.0,1753875095.78,2.0,49.20418015,18.75516806,387.4305,42.1352,32.0,0.5,227.88,1753875095.7770162,0.315,0.007,-0.009,-2.0,1.17,0.37,0.0,0.0,0.0,0.0,20.0,-27.2,6.8,19.0,0.21,0.44,-10.62,0.75,0.36,0.88
