Timestamp;PosX;PosY;PosZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;M1;M2;M3;M4;AccelX;AccelY;AccelZ;GyroX;GyroY;GyroZ
1753873616.371065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.53;0.9;0.35;0.97
1753873616.376065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.54;0.9;0.36;0.92
1753873616.381065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.53;0.8;0.32;0.99
1753873616.386065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.53;1.03;0.33;1.16
1753873616.391065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.53;0.86;0.32;0.96
1753873616.396065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.53;0.8;0.27;0.98
1753873616.401065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.52;0.9;0.31;1.04
1753873616.406065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.53;0.87;0.21;1.15
1753873616.411065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.53;0.85;0.25;1.02
1753873616.416065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.17;-10.54;0.99;0.2;0.87
1753873616.421065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.96;0.32;0.98
1753873616.426065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.87;0.38;0.98
1753873616.431065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.56;0.88;0.42;0.82
1753873616.436065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.86;0.28;0.91
1753873616.441064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.57;0.92;0.44;1.1
1753873616.446065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.17;-10.57;0.77;0.43;1.09
1753873616.451064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.57;1.09;0.24;0.99
1753873616.456065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.58;0.95;0.32;0.99
1753873616.461064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.58;0.88;0.28;1.0
1753873616.466065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.57;0.86;0.35;1.02
1753873616.471065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.16;-10.57;0.83;0.37;0.92
1753873616.476065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.57;0.88;0.38;1.09
1753873616.481065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.57;0.91;0.23;0.87
1753873616.486065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.51;0.89;0.33;0.94
1753873616.491065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.56;0.89;0.45;0.92
1753873616.496066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;-0.0;0.17;-10.56;0.74;0.4;0.94
1753873616.501066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.58;0.9;0.24;0.87
1753873616.506066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.54;0.87;0.4;0.9
1753873616.511066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;-0.0;0.17;-10.53;0.86;0.43;0.97
1753873616.516065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.54;0.83;0.41;0.97
1753873616.521065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.9;0.32;1.06
1753873616.526065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.99;0.35;0.94
1753873616.531065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.17;-10.55;0.9;0.28;0.92
1753873616.536065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.96;0.35;0.99
1753873616.541065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.95;0.3;0.99
1753873616.546065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.89;0.35;1.09
1753873616.551065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.86;0.52;1.07
1753873616.556065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.95;0.37;1.03
1753873616.561065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.56;0.88;0.39;0.8
1753873616.566064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.56;0.9;0.27;1.09
1753873616.571065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;0.96;0.32;0.9
1753873616.576064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.18;-10.55;1.02;0.34;1.18
1753873616.581065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.56;0.99;0.35;1.12
1753873616.586064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.55;0.9;0.32;1.09
1753873616.591065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.56;0.93;0.44;0.88
1753873616.596065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.18;-10.56;0.95;0.45;1.03
1753873616.601065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;1.0;0.41;1.0
1753873616.606065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.83;0.41;0.95
1753873616.611065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.86;0.35;1.07
1753873616.616065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.55;0.8;0.23;1.05
1753873616.621065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.55;1.05;0.41;1.08
1753873616.626065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.03;0.16;-10.55;1.02;0.45;1.26
1753873616.631065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;-0.0;0.17;-10.55;1.15;0.35;1.05
1753873616.636065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.55;1.04;0.25;1.12
1753873616.641065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.55;1.02;0.45;1.02
1753873616.646066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.03;0.17;-10.55;0.97;0.34;1.12
1753873616.651066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.16;-10.54;0.96;0.37;1.11
1753873616.656066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.56;1.02;0.56;1.14
1753873616.661066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.56;1.03;0.26;1.07
1753873616.666066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.91;0.35;0.96
1753873616.671066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.0;0.16;-10.56;0.94;0.34;1.19
1753873616.676066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.57;1.03;0.29;0.99
1753873616.681066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.18;-10.54;0.87;0.35;1.03
1753873616.686066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.56;0.97;0.44;0.96
1753873616.691066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.16;-10.57;0.98;0.44;0.97
1753873616.696066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.17;-10.56;0.94;0.44;1.07
1753873616.701067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.02;0.18;-10.56;1.03;0.35;0.84
1753873616.706067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.55;0.91;0.33;0.91
1753873616.711067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.9;0.36;0.92
1753873616.716065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.0;-25.0;0.01;0.17;-10.56;0.9;0.34;0.97
1753873616.721065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-28.3;-30.1;-25.0;0.01;0.16;-10.57;0.86;0.26;0.9
1753873616.726065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.1;-28.3;-29.4;-25.7;0.01;0.18;-10.55;0.89;0.32;1.02
1753873616.731065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-16.7;-27.1;-30.6;-24.6;0.0;0.17;-10.56;0.87;0.33;1.0
1753873616.736066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-27.0;-31.6;-27.0;0.01;0.18;-10.56;0.79;0.4;0.98
1753873616.741066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.0;-26.8;-30.9;-22.6;0.01;0.18;-10.56;0.97;0.32;0.96
1753873616.746066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.2;-28.8;-29.3;-23.8;0.0;0.17;-10.57;0.9;0.21;0.93
1753873616.751066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-27.9;-29.3;-23.9;0.01;0.17;-10.57;0.86;0.32;0.87
1753873616.756066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-16.9;-26.9;-29.7;-25.6;0.01;0.18;-10.56;1.04;0.32;1.01
1753873616.761066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-16.8;-29.6;-30.1;-23.4;0.01;0.18;-10.55;0.83;0.28;0.95
1753873616.766066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.8;-28.7;-30.7;-24.5;0.01;0.18;-10.55;0.71;0.34;0.87
1753873616.771066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.3;-27.8;-28.4;-24.9;0.01;0.17;-10.56;0.94;0.33;1.13
1753873616.776066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.2;-29.4;-29.3;-23.1;0.02;0.17;-10.56;0.87;0.39;0.85
1753873616.781066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.3;-30.1;-30.0;-22.5;-0.0;0.16;-10.56;0.95;0.29;1.04
1753873616.786066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.5;-29.7;-30.2;-23.4;0.01;0.17;-10.55;0.94;0.38;0.97
1753873616.791067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-30.5;-30.1;-22.6;0.01;0.17;-10.57;0.89;0.27;0.92
1753873616.796067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-29.6;-30.0;-22.4;0.0;0.17;-10.56;1.01;0.26;0.78
1753873616.801067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.5;-29.9;-29.3;-22.6;0.01;0.17;-10.54;0.79;0.27;0.99
1753873616.806067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.8;-30.1;-30.2;-22.6;0.01;0.17;-10.56;0.82;0.35;1.13
1753873616.811067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.1;-28.7;-28.7;-22.6;-0.0;0.17;-10.55;0.89;0.34;0.87
1753873616.816067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-27.9;-29.9;-23.4;0.01;0.17;-10.56;0.78;0.34;1.11
1753873616.821067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-30.1;-28.3;-22.7;0.0;0.17;-10.56;0.85;0.29;1.0
1753873616.826068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.5;-29.8;-22.7;0.01;0.17;-10.56;0.84;0.34;1.02
1753873616.831068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-29.6;-27.4;-21.1;0.02;0.18;-10.55;0.8;0.22;0.94
1753873616.836068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.8;-29.9;-28.2;-21.7;0.01;0.17;-10.56;0.72;0.27;1.06
1753873616.841068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.7;-32.0;-27.8;-22.6;0.01;0.18;-10.55;0.85;0.23;0.94
1753873616.846068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.1;-28.4;-21.1;0.01;0.16;-10.55;0.86;0.34;0.81
1753873616.851068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.5;-29.2;-26.2;-20.9;0.0;0.18;-10.55;0.86;0.32;0.86
1753873616.856068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.5;-29.4;-27.7;-19.9;-0.0;0.18;-10.55;0.83;0.25;1.05
1753873616.861068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-29.2;-27.8;-22.1;0.01;0.17;-10.54;0.92;0.47;0.84
1753873616.866068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.8;-30.1;-26.9;-21.0;0.01;0.17;-10.55;0.82;0.31;1.01
1753873616.871068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.3;-28.8;-21.1;0.01;0.17;-10.55;0.74;0.31;0.9
1753873616.876068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.5;-27.3;-21.1;0.01;0.17;-10.54;0.78;0.27;0.91
1753873616.881069;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-31.0;-28.5;-20.7;0.01;0.17;-10.55;0.79;0.31;1.12
1753873616.886069;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.1;-33.5;-27.3;-21.6;0.01;0.17;-10.56;0.84;0.37;0.94
1753873616.891069;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.1;-31.5;-27.6;-21.3;0.01;0.18;-10.54;0.78;0.42;0.92
1753873616.896069;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.2;-29.7;-26.4;-22.3;0.0;0.17;-10.55;0.83;0.28;0.91
1753873616.901069;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.2;-31.9;-27.4;-20.3;0.01;0.17;-10.55;0.88;0.31;1.02
1753873616.906065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.83;0.32;0.99
1753873616.911065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.02;0.18;-10.56;0.99;0.22;1.01
1753873616.916065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.18;-10.55;1.02;0.35;1.13
1753873616.921065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.83;0.48;1.06
1753873616.926065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.02;0.17;-10.55;0.95;0.22;0.86
1753873616.931065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.02;0.17;-10.55;1.01;0.47;1.05
1753873616.936065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.02;0.17;-10.55;0.93;0.39;0.99
1753873616.941064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.02;0.17;-10.55;0.93;0.51;0.98
1753873616.946065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.9;0.51;1.12
1753873616.951064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.94;0.25;0.99
1753873616.956065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.92;0.3;1.07
1753873616.961064;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.01;0.17;-10.55;0.92;0.24;1.09
1753873616.966065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.0;0.17;-10.55;1.0;0.33;0.97
1753873616.971065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-32.0;-27.0;-20.0;0.0;0.17;-10.55;1.0;0.29;1.05
1753873616.976065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.3;-33.0;-24.9;-19.9;-0.01;0.17;-10.55;1.04;0.4;1.06
1753873616.981065;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.9;-34.2;-26.4;-22.8;0.02;0.17;-10.55;0.93;0.36;1.14
1753873616.986066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.1;-33.8;-24.6;-20.0;0.01;0.17;-10.55;1.11;0.46;1.1
1753873616.991066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.1;-29.6;-16.8;-0.0;0.16;-10.55;0.92;0.14;1.04
1753873616.996066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.1;-35.0;-28.4;-19.3;0.01;0.16;-10.55;0.89;0.35;1.06
1753873617.001066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.8;-33.1;-26.7;-21.5;0.0;0.18;-10.55;0.97;0.32;1.05
1753873617.006066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-34.1;-23.6;-21.3;0.0;0.17;-10.54;0.96;0.4;1.1
1753873617.011066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.5;-33.5;-28.5;-21.8;-0.01;0.17;-10.55;0.92;0.28;1.08
1753873617.016066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.1;-32.6;-26.9;-17.3;0.01;0.17;-10.55;0.96;0.23;1.02
1753873617.021066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-30.6;-29.1;-21.7;0.0;0.17;-10.55;0.97;0.32;1.13
1753873617.026066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-32.7;-25.0;-25.1;0.0;0.18;-10.55;0.95;0.22;1.01
1753873617.031066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.7;-32.2;-27.1;-20.8;0.0;0.17;-10.55;0.98;0.33;0.97
1753873617.036066;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-30.1;-28.2;-16.5;-0.0;0.16;-10.55;1.09;0.38;0.88
1753873617.041067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.3;-29.1;-26.2;-17.2;0.01;0.17;-10.55;0.81;0.32;0.89
1753873617.046067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.8;-28.3;-27.1;-23.1;-0.0;0.17;-10.55;1.04;0.38;0.94
1753873617.051067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-31.6;-28.3;-18.1;-0.0;0.17;-10.55;0.79;0.41;0.97
1753873617.056067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-33.4;-29.3;-16.2;0.0;0.16;-10.55;0.83;0.21;1.07
1753873617.061067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-29.3;-25.4;-16.9;-0.01;0.16;-10.55;0.83;0.27;1.0
1753873617.066067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.0;-31.3;-28.0;-16.8;0.0;0.16;-10.55;1.01;0.28;1.03
1753873617.071067;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-33.0;-26.3;-17.4;0.0;0.17;-10.55;0.92;0.27;1.0
1753873617.076068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.6;-31.2;-27.6;-20.2;-0.0;0.16;-10.55;0.95;0.21;0.93
1753873617.081068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-18.3;-31.2;-28.7;-17.7;0.0;0.16;-10.55;0.88;0.38;0.87
1753873617.086068;7.332;0.005;-0.062;-0.5;0.25;-0.18;0.0;0.0;0.0;0.0;-17.4;-35.4;-27.7;-19.3;-0.01;0.17;-10.56;1.0;0.52;1.02
